"Reference","Value","Footprint","Datasheet","Qty","DNP"
"D1,D2","E-101","Diode_THT:D_A-405_P10.16mm_Horizontal","~","2",""
"D3","Hi Side LED","LED_THT:LED_D3.0mm","~","1",""
"D4","Lo Side LED","LED_THT:LED_D3.0mm","~","1",""
"J1","Screw_Terminal_01x02","TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm","~","1",""
"J2","NMOS Socket","Package_TO_SOT_THT:TO-220-3_Vertical","~","1",""
"J3","PMOS Socket","Package_TO_SOT_THT:TO-220-3_Vertical","~","1",""
"J4","NPN Socket","Package_TO_SOT_THT:TO-220-3_Vertical","~","1",""
"J5","PNP Socket","Package_TO_SOT_THT:TO-220-3_Vertical","~","1",""
"R1","270","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","1",""
"R2","2k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","1",""
"R3","470","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","1",""
"R4","330","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","1",""
"SW1","PMOS SW","custom:Switch_PushButton_m12x0.75","~","1",""
"SW2","NMOS SW","custom:Switch_PushButton_m12x0.75","~","1",""
